,Australia,Canada,France,Japan,United States
"General government final consumption expenditure_Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year",,,,,-0.10853870137687119
"General government final consumption expenditure_Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",,,,,0.18773332848050744
"Gross domestic product - expenditure approach_Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year",,0.11915529309137199,,,
"Gross fixed capital formation_Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year",,,,,-0.0037544351969052807
IT 1*11,,0.029452188551442875,,1.907861642725285e-05,
IT 1*15,1.068794475265363e-08,,,,
IT 1*17,,,0.00035564124684557205,,0.002878106803125718
IT 1*22,,0.0046049199571510345,,,
IT 1*23,,-0.00037877534724966785,,,
IT 1*4,-0.019821366335775414,-0.03193787929548128,,,
IT 1*5,,,,-6.007339080958483e-07,
IT 1*9,,,,-9.996106942259406e-08,
IT 10*11,,-0.03671351195246017,,,-0.019387079961332015
IT 10*14,-4.1809172640284296e-07,,4.058562729599861e-06,,
IT 10*15,,,-3.643621487411642e-06,,
IT 10*16,0.04300636421228129,0.012515037847306468,0.30041537410593305,,-0.11254670864418921
IT 10*17,,,,1.345323709857722e-05,
IT 10*22,-0.011609605871410078,,0.06216674096564138,-7.359500146167958e-06,0.0512025413093964
IT 10*23,0.014803071228906554,,-0.04587740400510977,2.95108504052249e-05,
IT 10*24,,,,-1.657958367950135e-10,
IT 10*25,,,,-1.0627973500759613e-07,
IT 10*28,0.004660831883398671,,,4.900621530167129e-06,
IT 10*29,-0.007683339175425314,,,,
IT 11*16,-0.03548068411503538,,,1.0711354293767892e-05,
IT 11*17,,-0.012275791108704217,,,0.008995081356593337
IT 11*22,,0.02040342031671395,,,
IT 11*23,-0.023994215429827964,,,0.00012257489534100616,
IT 11*24,,,2.3085360180019803e-07,,
IT 11*26,,,,2.8915633375580304e-09,
IT 11*28,0.009131634245910594,0.030008117855818056,-0.0009535525701633366,,
IT 11*29,0.00407023713784016,,,4.591181065587743e-05,
IT 11*30,4.1715231812020477e-07,,,,
IT 11*32,,-0.12037254259271872,,,-0.10853873059954633
IT 12*32,,,5.659382177750704e-06,,
IT 14*17,,,,2.0696844056640835e-11,
IT 14*23,,-2.0968737610568272e-07,,,
IT 14*32,,,-1.0642935697939665e-06,,
IT 15*17,,-9.924726064818731e-08,,,
IT 16*17,0.004868617299411467,0.00805546391059152,-0.0052781906844704025,,0.013662111297619465
IT 16*22,0.006202457701364614,,,,-0.027496103669277253
IT 16*23,0.005266875087979364,,,1.877473445964173e-05,-0.010266310324387434
IT 16*28,-0.018739019310585272,0.009982013829289654,,,
IT 16*29,0.0016873656548471398,,,-8.271580831604794e-06,
IT 16*30,-0.08800524384293293,,,,
IT 16*31,0.1296930845225563,,,,
IT 16*32,,0.0749018985157687,0.004055064100836905,,
IT 17*22,-0.00033630395756379826,,,,
IT 17*23,0.0014232521008838703,,,-0.00016018089959351874,
IT 17*28,-0.0005269094613741779,-0.009282218520959853,0.009472731358888788,7.999258689599994e-05,
IT 17*29,-0.004897390007751675,,,-0.00015682358651575746,
IT 17*32,,0.035786226708895294,,,-0.003754491830349113
IT 18*28,,,,,2.4166136597161434e-08
IT 18*30,,,,-7.715083056957095e-10,
IT 18*31,,,,1.493298344358945e-08,
IT 18*32,,,-0.2715358668025707,,
IT 19*28,,,,,2.4454483195829716e-08
IT 19*30,,,,6.489620598690729e-08,
IT 19*31,,,,-1.727173413544932e-10,
