,Australia,Canada,France,Japan,United States
"Gross domestic product - expenditure approach_Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year",-0.07004143751026937,0.07466872148290049,-0.026894739935799716,-0.017203680407131938,0.03499954677036665
"Private final consumption expenditure_National currency, current prices, annual levels, seasonally adjusted",0.06720361990706669,0.05685026129666404,0.001608447975644356,-0.22127169696095272,0.04577742458717049
"Private final consumption expenditure_US dollars, current prices, current PPPs, annual levels, seasonally adjusted",0.08871240758135712,0.06653215971689752,0.009750818662632,-0.04989842863712868,0.04577742458717049
"Private final consumption expenditure_Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",0.09732184712360326,-0.022059550584978105,-0.05865854044770147,0.17022105327204362,0.0605123873323819
"Private final consumption expenditure_Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year",-0.11617140120766711,0.03190510959232107,-0.08104361628021162,0.006463485718235407,-0.04498882058977505
"Private final consumption expenditure_National currency, volume estimates, OECD reference year, annual levels, seasonally adjusted",-0.020822173888377538,0.030254884750273492,0.044087830259531086,0.07303713019336278,0.05058950313939148
"Private final consumption expenditure_US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted",-0.02082210078201263,0.030255304623516777,0.04408778739716962,0.07303698816116277,0.05058950313939148
"General government final consumption expenditure_National currency, current prices, annual levels, seasonally adjusted",0.04811058713605987,0.03446609913323684,0.06452190741245414,-0.0821542432987451,0.06098102154655938
"General government final consumption expenditure_US dollars, current prices, current PPPs, annual levels, seasonally adjusted",0.06829818963595713,0.04616998261951055,0.057036679813730784,-0.008397950143118615,0.06098102154655938
"General government final consumption expenditure_Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",-0.0037484442393566075,-0.009946109698708239,-0.03459494738025437,0.039391802727245406,0.15439706256156738
"General government final consumption expenditure_Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year",-0.1452633603999436,-0.09208545381932498,-0.010362758372379655,0.12952001896253884,-0.24276317272026904
"General government final consumption expenditure_National currency, volume estimates, OECD reference year, annual levels, seasonally adjusted",0.025245560947497525,-0.09320001766470354,-0.007302495845943127,0.006258090601054533,-0.036230501308829544
"General government final consumption expenditure_US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted",0.025246458702132712,-0.09319886266363553,-0.007302867262111878,0.006257551624640034,-0.036230501308829544
"Gross fixed capital formation_National currency, current prices, annual levels, seasonally adjusted",-0.03591148783229303,-0.05810165773939158,-0.029013881172898576,-0.09586408689070902,0.0630368967731818
"Gross fixed capital formation_US dollars, current prices, current PPPs, annual levels, seasonally adjusted",-0.02909521124445924,-0.046994065652460115,-0.009062235220050563,-0.12299266344998183,0.0630368967731818
